player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Al-Farouq Aminu,2015-16,0.3,0.166,Victim (Fragile Role),Sniper (Resilient Role),0.027450937777757645,False,False,False,False,False,True
Al-Farouq Aminu,2015-16,0.35,0.166,Victim (Fragile Role),Sniper (Resilient Role),0.051195982843637466,False,False,False,False,False,True
Derrick White,2018-19,0.15,0.178,Victim (Fragile Role),King (Resilient Star),0.0038731934037059546,False,True,False,True,False,False
Derrick White,2018-19,0.2,0.178,Sniper (Resilient Role),King (Resilient Star),0.03325686603784561,False,True,False,True,False,False
Derrick White,2018-19,0.25,0.178,Victim (Fragile Role),King (Resilient Star),0.06653563678264618,False,True,False,True,False,False
Derrick White,2018-19,0.3,0.178,Victim (Fragile Role),King (Resilient Star),0.08996959775686264,False,True,False,True,False,False
Derrick White,2018-19,0.35,0.178,Bulldozer (Fragile Star),King (Resilient Star),0.0727134421467781,False,True,False,True,False,False
Tristan Thompson,2015-16,0.15,0.114,Victim (Fragile Role),Sniper (Resilient Role),0.0012830953346565366,False,False,False,False,False,True
Tristan Thompson,2015-16,0.2,0.114,Victim (Fragile Role),Sniper (Resilient Role),0.0031273027416318655,False,False,False,False,False,True
Tristan Thompson,2015-16,0.25,0.114,Victim (Fragile Role),Sniper (Resilient Role),0.00919819250702858,False,False,False,False,False,True
Tristan Thompson,2015-16,0.3,0.114,Victim (Fragile Role),Sniper (Resilient Role),0.02561534009873867,False,False,False,False,False,True
Tristan Thompson,2015-16,0.35,0.114,Victim (Fragile Role),Sniper (Resilient Role),0.0334937646985054,False,False,False,False,False,True
Tyrese Maxey,2023-24,0.15,0.273,Victim (Fragile Role),King (Resilient Star),0.006537370849400759,False,True,False,True,False,False
Tyrese Maxey,2023-24,0.2,0.273,Victim (Fragile Role),King (Resilient Star),0.03231558948755264,False,True,False,True,False,False
Tyrese Maxey,2023-24,0.25,0.273,Victim (Fragile Role),King (Resilient Star),0.03417513892054558,False,True,False,True,False,False
Tyrese Maxey,2023-24,0.3,0.273,Victim (Fragile Role),King (Resilient Star),0.09090415388345718,False,True,False,True,False,False
