PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Buddy Hield,2019-20,0.263,0.4877832306758747,0.5020441537203598,0.230104873534855,0.17428454619787406,High
Stephen Curry,2019-20,0.286,0.4159881635581062,0.4411764705882353,0.1097560975609756,0.19558823529411765,Moderate
Bojan Bogdanovic,2019-20,0.252,0.5183477184783155,0.5447761194029851,0.2579124579124579,0.15932835820895522,High
Julius Randle,2019-20,0.271,0.4782633763837638,0.5387453874538746,0.1517857142857142,0.16143911439114392,High
Andrew Wiggins,2019-20,0.269,0.41130970535172956,0.423162583518931,0.1214798453892877,0.20189309576837414,Moderate
Giannis Antetokounmpo,2019-20,0.363,0.4667241030590912,0.4480314960629921,0.2451678535096643,0.19318897637795276,High
Paul George,2019-20,0.292,0.4235863995922051,0.42076069730586374,0.1599015990159901,0.20273375594294768,Moderate
Zach LaVine,2019-20,0.312,0.38219375,0.3458333333333333,0.146,0.22895833333333332,Moderate
Khris Middleton,2019-20,0.26,0.4246828736408871,0.4394618834080718,0.136986301369863,0.19618834080717487,Moderate
D'Angelo Russell,2019-20,0.305,0.35267856175775913,0.30940279542566707,0.1124134256792754,0.2417090216010165,Low
LeBron James,2019-20,0.308,0.37371508140531273,0.30222222222222217,0.1825192802056555,0.24422222222222223,Moderate
Kawhi Leonard,2019-20,0.327,0.34899286645891614,0.3109354413702239,0.0997481108312342,0.2411725955204216,Low
Dennis Schröder,2019-20,0.262,0.4279258428116137,0.40782608695652167,0.1903160726294553,0.20726086956521741,Moderate
Devin Booker,2019-20,0.294,0.3818733438274906,0.3415605095541401,0.1510359869138495,0.23045382165605097,Moderate
CJ McCollum,2019-20,0.257,0.343431747576864,0.2710576314122862,0.1394032921810699,0.2551298290056998,Low
Collin Sexton,2019-20,0.264,0.36184941870339205,0.3136531365313653,0.1326957561267184,0.24022140221402213,Moderate
Jordan Clarkson,2019-20,0.254,0.4272322877675376,0.42211055276381904,0.1684382665576451,0.20226130653266333,Moderate
Blake Griffin,2019-20,0.277,0.44467579699351645,0.44994617868676,0.1795058139534883,0.192518837459634,Moderate
Russell Westbrook,2019-20,0.33,0.31311909088153833,0.2047541869259859,0.145146927871772,0.2783360345759049,Low
Jayson Tatum,2019-20,0.28,0.35234314448202964,0.310980720871752,0.1092572658772873,0.2411567476948868,Low
Donovan Mitchell,2019-20,0.303,0.3280536973977245,0.22406110757479314,0.1609254498714653,0.27157861234882236,Low
Boban Marjanovic,2019-20,0.258,0.6366727941176471,0.90625,0.1092436974789916,0.056249999999999994,High
Damian Lillard,2019-20,0.294,0.29882984170328963,0.1817168338907469,0.1364082433758586,0.28639910813823855,Low
Kyrie Irving,2019-20,0.318,0.28054416151715317,0.16620498614958445,0.1057692307692307,0.2918282548476454,Low
Kemba Walker,2019-20,0.268,0.32734094273401215,0.23143759873617686,0.1486146095717884,0.26899684044233807,Low
Spencer Dinwiddie,2019-20,0.287,0.31008410717454316,0.2181132075471699,0.1178683385579937,0.2736603773584905,Low
Caris LeVert,2019-20,0.284,0.32783702685717836,0.2164794007490637,0.1708666256914566,0.2742322097378277,Low
Lou Williams,2019-20,0.271,0.32681684160550684,0.22871883061049014,0.150904033379694,0.2699484092863284,Low
Victor Oladipo,2019-20,0.259,0.3716303156746308,0.2714138286893706,0.2194744976816074,0.2550051599587203,Moderate
Luka Dončić,2019-20,0.355,0.2609871524840338,0.137266023823029,0.0901999024865919,0.30195689166193984,Low
